Name,Full Name,Age,Height,Nationality,Overall,Potential,First Name,Last Name
G. Bale,Gareth Bale,28,185.0,Wales,88,88,Gareth,Bale
G. Buffon,Gianluigi Buffon,40,193.0,Italy,88,88,Gianluigi,Buffon
G. Higuaín,Gonzalo Higuaín,30,185.0,Argentina,88,88,Gonzalo,Higuaín
H. Lloris,Hugo Lloris,31,188.0,France,88,88,Hugo,Lloris
L. Insigne,Lorenzo Insigne,27,163.0,Italy,88,88,Lorenzo,Insigne
Marcelo,Marcelo,30,175.0,Brazil,88,88,Marcelo,-
M. Hummels,Mats Hummels,29,190.0,Germany,88,88,Mats,Hummels
P. Aubameyang,Pierre-Emerick Aubameyang,29,188.0,Gabon,88,88,Pierre-Emerick,Aubameyang
S. Handanovič,Samir Handanovič,33,193.0,Slovenia,88,88,Samir,Handanovič
Thiago Silva,Thiago Silva,33,183.0,Brazil,88,88,Thiago,Silva
S. Umtiti,Samuel Umtiti,24,183.0,France,87,92,Samuel,Umtiti
P. Pogba,Paul Pogba,25,193.0,France,87,91,Paul,Pogba
K. Koulibaly,Kalidou Koulibaly,27,188.0,Senegal,87,90,Kalidou,Koulibaly
M. Icardi,Mauro Icardi,25,180.0,Argentina,87,90,Mauro,Icardi
R. Lukaku,Romelu Lukaku,25,190.0,Belgium,87,89,Romelu,Lukaku
C. Immobile,Ciro Immobile,28,185.0,Italy,87,87,Ciro,Immobile
D. Mertens,Dries Mertens,31,170.0,Belgium,87,87,Dries,Mertens
I. Rakitić,Ivan Rakitić,30,183.0,Croatia,87,87,Ivan,Rakitić
J. Vertonghen,Jan Vertonghen,31,188.0,Belgium,87,87,Jan,Vertonghen
Jordi Alba,Jordi Alba,29,170.0,Spain,87,87,Jordi,Alba
K. Navas,Keylor Navas,31,185.0,Costa Rica,87,87,Keylor,Navas
M. Hamšík,Marek Hamšík,30,183.0,Slovakia,87,87,Marek,Hamšík
Piqué,Piqué,31,193.0,Spain,87,87,Piqué,-
L. Sané,Leroy Sané,22,183.0,Germany,86,92,Leroy,Sané
Bernardo Silva,Bernardo Silva,23,173.0,Portugal,86,91,Bernardo,Silva
R. Varane,Raphaël Varane,25,190.0,France,86,91,Raphaël,Varane
Ederson,Ederson,24,188.0,Brazil,86,90,Ederson,-
M. Verratti,Marco Verratti,25,165.0,Italy,86,89,Marco,Verratti
R. Sterling,Raheem Sterling,23,170.0,England,86,89,Raheem,Sterling
V. van Dijk,Virgil van Dijk,26,193.0,Netherlands,86,88,Virgil,van Dijk
Roberto Firmino,Roberto Firmino,26,180.0,Brazil,86,87,Roberto,Firmino
S. Mané,Sadio Mané,26,175.0,Senegal,86,87,Sadio,Mané
T. Alderweireld,Toby Alderweireld,29,185.0,Belgium,86,87,Toby,Alderweireld
Alex Sandro,Alex Sandro,27,180.0,Brazil,86,86,Alex,Sandro
Azpilicueta,Azpilicueta,28,178.0,Spain,86,86,Azpilicueta,-
Douglas Costa,Douglas Costa,27,173.0,Brazil,86,86,Douglas,Costa
Fernandinho,Fernandinho,33,178.0,Brazil,86,86,Fernandinho,-
Iniesta,Iniesta,34,170.0,Spain,86,86,Iniesta,-
L. Bonucci,Leonardo Bonucci,31,190.0,Italy,86,86,Leonardo,Bonucci
M. Reus,Marco Reus,29,180.0,Germany,86,86,Marco,Reus
M. Benatia,Medhi Benatia,31,188.0,Morocco,86,86,Medhi,Benatia
M. Özil,Mesut Özil,29,180.0,Germany,86,86,Mesut,Özil
M. Pjanić,Miralem Pjanić,28,178.0,Bosnia Herzegovina,86,86,Miralem,Pjanić
Thiago,Thiago,27,175.0,Spain,86,86,Thiago,-
T. Müller,Thomas Müller,28,185.0,Germany,86,86,Thomas,Müller
Marco Asensio,Marco Asensio,22,183.0,Spain,85,92,Marco,Asensio
M. Škriniar,Milan Škriniar,23,188.0,Slovakia,85,92,Milan,Škriniar
Alisson,Alisson,25,190.0,Brazil,85,90,Alisson,-
Saúl,Saúl,23,183.0,Spain,85,90,Saúl,-
S. Milinković-Savić,Sergej Milinković-Savić,23,190.0,Serbia,85,90,Sergej,Milinković-Savić
N. Fekir,Nabil Fekir,24,173.0,France,85,89,Nabil,Fekir
J. Kimmich,Joshua Kimmich,23,175.0,Germany,85,88,Joshua,Kimmich
D. Alaba,David Alaba,26,180.0,Austria,85,87,David,Alaba
K. Manolas,Kostas Manolas,27,188.0,Greece,85,87,Kostas,Manolas
W. Szczęsny,Wojciech Szczęsny,28,196.0,Poland,85,87,Wojciech,Szczęsny
A. Lacazette,Alexandre Lacazette,27,175.0,France,85,86,Alexandre,Lacazette
Koke,Koke,26,175.0,Spain,85,86,Koke,-
A. Sánchez,Alexis Sánchez,29,170.0,Chile,85,85,Alexis,Sánchez
A. Vidal,Arturo Vidal,31,180.0,Chile,85,85,Arturo,Vidal
B. Matuidi,Blaise Matuidi,31,180.0,France,85,85,Blaise,Matuidi
Diego Costa,Diego Costa,29,188.0,Spain,85,85,Diego,Costa
E. Džeko,Edin Džeko,32,193.0,Bosnia Herzegovina,85,85,Edin,Džeko
Filipe Luís,Filipe Luís,32,183.0,Brazil,85,85,Filipe,Luís
I. Perišić,Ivan Perišić,29,185.0,Croatia,85,85,Ivan,Perišić
J. Boateng,Jérôme Boateng,29,193.0,Germany,85,85,Jérôme,Boateng
K. Benzema,Karim Benzema,30,185.0,France,85,85,Karim,Benzema
Miranda,Miranda,33,185.0,Brazil,85,85,Miranda,-
Naldo,Naldo,35,198.0,Brazil,85,85,Naldo,-
N. Otamendi,Nicolás Otamendi,30,183.0,Argentina,85,85,Nicolás,Otamendi
Parejo,Parejo,29,183.0,Spain,85,85,Parejo,-
Paulinho,Paulinho,29,183.0,Brazil,85,85,Paulinho,-
Pepe,Pepe,35,188.0,Portugal,85,85,Pepe,-
R. Nainggolan,Radja Nainggolan,30,175.0,Belgium,85,85,Radja,Nainggolan
R. Mahrez,Riyad Mahrez,27,178.0,Algeria,85,85,Riyad,Mahrez
S. Khedira,Sami Khedira,31,188.0,Germany,85,85,Sami,Khedira
V. Kompany,Vincent Kompany,32,190.0,Belgium,85,85,Vincent,Kompany
Y. Brahimi,Yacine Brahimi,28,175.0,Algeria,85,85,Yacine,Brahimi
Z. Ibrahimović,Zlatan Ibrahimović,36,196.0,Sweden,85,85,Zlatan,Ibrahimović
A. Martial,Anthony Martial,22,183.0,France,84,90,Anthony,Martial
D. Alli,Dele Alli,22,188.0,England,84,90,Dele,Alli
N. Süle,Niklas Süle,22,196.0,Germany,84,90,Niklas,Süle
Marquinhos,Marquinhos,24,183.0,Brazil,84,89,Marquinhos,-
M. Perin,Mattia Perin,25,188.0,Italy,84,89,Mattia,Perin
M. Depay,Memphis Depay,24,175.0,Netherlands,84,89,Memphis,Depay
A. Laporte,Aymeric Laporte,24,188.0,France,84,88,Aymeric,Laporte
Bruno Fernandes,Bruno Fernandes,23,178.0,Portugal,84,88,Bruno,Fernandes
D. Sánchez,Davinson Sánchez,22,188.0,Colombia,84,88,Davinson,Sánchez
Fabinho,Fabinho,24,188.0,Brazil,84,88,Fabinho,-
J. Giménez,José María Giménez,23,185.0,Uruguay,84,88,José,María Giménez
Alex Telles,Alex Telles,25,180.0,Brazil,84,87,Alex,Telles
B. Leno,Bernd Leno,26,190.0,Germany,84,87,Bernd,Leno
Carvajal,Carvajal,26,173.0,Spain,84,87,Carvajal,-
F. Thauvin,Florian Thauvin,25,178.0,France,84,87,Florian,Thauvin
Jorginho,Jorginho,26,180.0,Italy,84,87,Jorginho,-
A. Lopes,Anthony Lopes,27,183.0,Portugal,84,86,Anthony,Lopes
S. de Vrij,Stefan de Vrij,26,188.0,Netherlands,84,86,Stefan,de Vrij
William Carvalho,William Carvalho,26,188.0,Portugal,84,86,William,Carvalho
H. Son,Heung Min Son,25,183.0,Korea Republic,84,85,Heung,Min Son
Sergio Asenjo,Sergio Asenjo,29,188.0,Spain,84,85,Sergio,Asenjo
A. Gómez,Alejandro Gómez,30,165.0,Argentina,84,84,Alejandro,Gómez
A. Barzagli,Andrea Barzagli,37,188.0,Italy,84,84,Andrea,Barzagli
A. Robben,Arjen Robben,34,180.0,Netherlands,84,84,Arjen,Robben
A. Witsel,Axel Witsel,29,188.0,Belgium,84,84,Axel,Witsel
D. Payet,Dimitri Payet,31,175.0,France,84,84,Dimitri,Payet
Falcao,Falcao,32,178.0,Colombia,84,84,Falcao,-
Iago Aspas,Iago Aspas,30,175.0,Spain,84,84,Iago,Aspas
Illarramendi,Illarramendi,28,178.0,Spain,84,84,Illarramendi,-
Jonas,Jonas,34,180.0,Brazil,84,84,Jonas,-
José Callejón,José Callejón,31,178.0,Spain,84,84,José,Callejón
J. Cuadrado,Juan Cuadrado,30,178.0,Colombia,84,84,Juan,Cuadrado
K. Schmeichel,Kasper Schmeichel,31,188.0,Denmark,84,84,Kasper,Schmeichel
K. Walker,Kyle Walker,28,183.0,England,84,84,Kyle,Walker
L. Hrádecký,Lukáš Hrádecký,28,193.0,Finland,84,84,Lukáš,Hrádecký
M. Mandžukić,Mario Mandžukić,32,190.0,Croatia,84,84,Mario,Mandžukić
N. Matić,Nemanja Matić,29,193.0,Serbia,84,84,Nemanja,Matić
Quaresma,Quaresma,34,175.0,Portugal,84,84,Quaresma,-
Raúl Albiol,Raúl Albiol,32,190.0,Spain,84,84,Raúl,Albiol
Sokratis,Sokratis,30,185.0,Greece,84,84,Sokratis,-
S. Ruffier,Stéphane Ruffier,31,188.0,France,84,84,Stéphane,Ruffier
Willian,Willian,29,175.0,Brazil,84,84,Willian,-
A. Di María,Ángel Di María,30,180.0,Argentina,84,84,Ángel,Di María
E. Banega,Éver Banega,30,175.0,Argentina,84,84,Éver,Banega
I. Gündoğan,İlkay Gündoğan,27,180.0,Germany,84,84,İlkay,Gündoğan
Gabriel Jesus,Gabriel Jesus,21,175.0,Brazil,83,92,Gabriel,Jesus
O. Dembélé,Ousmane Dembélé,21,178.0,France,83,92,Ousmane,Dembélé
Kepa,Kepa,23,185.0,Spain,83,91,Kepa,-
Anderson Talisca,Anderson Talisca,24,190.0,Brazil,83,90,Anderson,Talisca
M. Kovačić,Mateo Kovačić,24,175.0,Croatia,83,89,Mateo,Kovačić
P. Kimpembe,Presnel Kimpembe,22,188.0,France,83,89,Presnel,Kimpembe
T. Lemar,Thomas Lemar,22,170.0,France,83,89,Thomas,Lemar
C. Tolisso,Corentin Tolisso,23,180.0,France,83,88,Corentin,Tolisso
J. Tah,Jonathan Tah,22,196.0,Germany,83,88,Jonathan,Tah
J. Pickford,Jordan Pickford,24,185.0,England,83,88,Jordan,Pickford
L. Goretzka,Leon Goretzka,23,188.0,Germany,83,88,Leon,Goretzka
N. Keïta,Naby Keïta,23,173.0,Guinea,83,88,Naby,Keïta
S. Gnabry,Serge Gnabry,22,175.0,Germany,83,88,Serge,Gnabry
A. Rabiot,Adrien Rabiot,23,193.0,France,83,87,Adrien,Rabiot
J. Stones,John Stones,24,188.0,England,83,87,John,Stones
K. Coman,Kingsley Coman,22,178.0,France,83,87,Kingsley,Coman
T. Horn,Timo Horn,25,193.0,Germany,83,87,Timo,Horn
T. Werner,Timo Werner,22,180.0,Germany,83,87,Timo,Werner
Danilo Pereira,Danilo Pereira,26,188.0,Portugal,83,86,Danilo,Pereira
H. Ziyech,Hakim Ziyech,25,180.0,Morocco,83,86,Hakim,Ziyech
J. Draxler,Julian Draxler,24,188.0,Germany,83,86,Julian,Draxler
Sergi Roberto,Sergi Roberto,26,178.0,Spain,83,86,Sergi,Roberto
S. Savić,Stefan Savić,27,188.0,Montenegro,83,86,Stefan,Savić
Suso,Suso,24,175.0,Spain,83,86,Suso,-
Y. Carrasco,Yannick Carrasco,24,180.0,Belgium,83,86,Yannick,Carrasco
Felipe Anderson,Felipe Anderson,25,175.0,Brazil,83,85,Felipe,Anderson
Gerard Moreno,Gerard Moreno,26,180.0,Spain,83,85,Gerard,Moreno
Nacho Fernández,Nacho Fernández,28,180.0,Spain,83,85,Nacho,Fernández
Lucas Moura,Lucas Moura,25,175.0,Brazil,83,84,Lucas,Moura
Manu Trigueros,Manu Trigueros,26,178.0,Spain,83,84,Manu,Trigueros
Marcos Alonso,Marcos Alonso,27,188.0,Spain,83,84,Marcos,Alonso
Neto,Neto,28,190.0,Brazil,83,84,Neto,-
O. Baumann,Oliver Baumann,28,188.0,Germany,83,84,Oliver,Baumann
Oscar,Oscar,26,178.0,Brazil,83,84,Oscar,-
Q. Promes,Quincy Promes,26,175.0,Netherlands,83,84,Quincy,Promes
R. Fährmann,Ralf Fährmann,29,198.0,Germany,83,84,Ralf,Fährmann
Rodrigo,Rodrigo,27,183.0,Spain,83,84,Rodrigo,-
Y. Sommer,Yann Sommer,29,183.0,Switzerland,83,84,Yann,Sommer
Adán,Adán,31,190.0,Spain,83,83,Adán,-
Allan,Allan,27,175.0,Brazil,83,83,Allan,-
B. Dost,Bas Dost,29,196.0,Netherlands,83,83,Bas,Dost
Cesc Fàbregas,Cesc Fàbregas,31,178.0,Spain,83,83,Cesc,Fàbregas
D. De Rossi,Daniele De Rossi,34,183.0,Italy,83,83,Daniele,De Rossi
D. Subašić,Danijel Subašić,33,190.0,Croatia,83,83,Danijel,Subašić
David Luiz,David Luiz,31,188.0,Brazil,83,83,David,Luiz
Felipe,Felipe,29,190.0,Brazil,83,83,Felipe,-
F. Acerbi,Francesco Acerbi,30,193.0,Italy,83,83,Francesco,Acerbi
F. Ribéry,Franck Ribéry,35,170.0,France,83,83,Franck,Ribéry
Giuliano,Giuliano,28,173.0,Brazil,83,83,Giuliano,-
H. Mkhitaryan,Henrikh Mkhitaryan,29,178.0,Armenia,83,83,Henrikh,Mkhitaryan
I. Gueye,Idrissa Gueye,28,175.0,Senegal,83,83,Idrissa,Gueye
Javi Martínez,Javi Martínez,29,193.0,Spain,83,83,Javi,Martínez
Josué Chiamulera,Josué Chiamulera,26,185.0,Brazil,83,83,Josué,Chiamulera
Juan Mata,Juan Mata,30,170.0,Spain,83,83,Juan,Mata
K. Glik,Kamil Glik,30,190.0,Poland,83,83,Kamil,Glik
K. Kampl,Kevin Kampl,27,178.0,Slovenia,83,83,Kevin,Kampl
K. Strootman,Kevin Strootman,28,185.0,Netherlands,83,83,Kevin,Strootman
L. Bender,Lars Bender,29,185.0,Germany,83,83,Lars,Bender
Louri Beretta,Louri Beretta,26,188.0,Brazil,83,83,Louri,Beretta
Lucas Leiva,Lucas Leiva,31,178.0,Brazil,83,83,Lucas,Leiva
Lucas Vázquez,Lucas Vázquez,27,173.0,Spain,83,83,Lucas,Vázquez
Luiz Gustavo,Luiz Gustavo,30,188.0,Brazil,83,83,Luiz,Gustavo
M. Balotelli,Mario Balotelli,27,188.0,Italy,83,83,Mario,Balotelli
M. Dembélé,Moussa Dembélé,30,185.0,Belgium,83,83,Moussa,Dembélé
Pepe Reina,Pepe Reina,35,188.0,Spain,83,83,Pepe,Reina
Pizzi,Pizzi,28,178.0,Portugal,83,83,Pizzi,-
Ronaldo Cabrais,Ronaldo Cabrais,26,178.0,Brazil,83,83,Ronaldo,Cabrais
Rui Patrício,Rui Patrício,30,190.0,Portugal,83,83,Rui,Patrício
R. Jarstein,Rune Almenning Jarstein,33,190.0,Norway,83,83,Rune,Almenning Jarstein
S. Mandanda,Steve Mandanda,33,185.0,France,83,83,Steve,Mandanda
G. Donnarumma,Gianluigi Donnarumma,19,196.0,Italy,82,93,Gianluigi,Donnarumma
M. de Ligt,Matthijs de Ligt,18,188.0,Netherlands,82,91,Matthijs,de Ligt
Arthur,Arthur,21,170.0,Brazil,82,90,Arthur,-
A. Romagnoli,Alessio Romagnoli,23,188.0,Italy,82,89,Alessio,Romagnoli
Malcom,Malcom,21,173.0,Brazil,82,89,Malcom,-
C. Lenglet,Clément Lenglet,23,185.0,France,82,88,Clément,Lenglet
João Cancelo,João Cancelo,24,183.0,Portugal,82,88,João,Cancelo
J. Brandt,Julian Brandt,22,185.0,Germany,82,88,Julian,Brandt
L. Hernández,Lucas Hernández,22,183.0,France,82,88,Lucas,Hernández
T. Partey,Thomas Partey,25,185.0,Ghana,82,88,Thomas,Partey
A. Belotti,Andrea Belotti,24,180.0,Italy,82,87,Andrea,Belotti
A. Robertson,Andrew Robertson,24,178.0,Scotland,82,87,Andrew,Robertson
F. Bernardeschi,Federico Bernardeschi,24,185.0,Italy,82,87,Federico,Bernardeschi
Gelson Martins,Gelson Martins,23,173.0,Portugal,82,87,Gelson,Martins
L. Torreira,Lucas Torreira,22,168.0,Uruguay,82,87,Lucas,Torreira
Pau López,Pau López,23,188.0,Spain,82,87,Pau,López
Rafinha,Rafinha,25,175.0,Brazil,82,87,Rafinha,-
Rodri,Rodri,22,190.0,Spain,82,87,Rodri,-
D. Rugani,Daniele Rugani,23,190.0,Italy,82,86,Daniele,Rugani
Gonçalo Guedes,Gonçalo Guedes,21,178.0,Portugal,82,86,Gonçalo,Guedes
Samu Castillejo,Samu Castillejo,23,183.0,Spain,82,86,Samu,Castillejo
G. Kondogbia,Geoffrey Kondogbia,25,188.0,Central African Rep.,82,85,Geoffrey,Kondogbia
H. Maguire,Harry Maguire,25,193.0,England,82,85,Harry,Maguire
J. Pavlenka,Jiří Pavlenka,26,196.0,Czech Republic,82,85,Jiří,Pavlenka
K. Casteels,Koen Casteels,26,198.0,Belgium,82,85,Koen,Casteels
Luis Alberto,Luis Alberto,25,183.0,Spain,82,85,Luis,Alberto
M. Götze,Mario Götze,26,175.0,Germany,82,85,Mario,Götze
Morata,Morata,25,188.0,Spain,82,85,Morata,-
R. Bürki,Roman Bürki,27,188.0,Switzerland,82,85,Roman,Bürki
W. Zaha,Wilfried Zaha,25,180.0,Ivory Coast,82,85,Wilfried,Zaha
A. Rüdiger,Antonio Rüdiger,25,190.0,Germany,82,84,Antonio,Rüdiger
Fred,Fred,25,170.0,Brazil,82,84,Fred,-
J. Cillessen,Jasper Cillessen,29,185.0,Netherlands,82,84,Jasper,Cillessen
S. Mustafi,Shkodran Mustafi,26,183.0,Germany,82,84,Shkodran,Mustafi
A. Ramsey,Aaron Ramsey,27,183.0,Wales,82,83,Aaron,Ramsey
A. Florenzi,Alessandro Florenzi,27,173.0,Italy,82,83,Alessandro,Florenzi
A. Kramarić,Andrej Kramarić,27,178.0,Croatia,82,83,Andrej,Kramarić
Bartra,Bartra,27,183.0,Spain,82,83,Bartra,-
C. Bakambu,Cédric Bakambu,27,183.0,DR Congo,82,83,Cédric,Bakambu
Dani García,Dani García,28,180.0,Spain,82,83,Dani,García
E. Forsberg,Emil Forsberg,26,178.0,Sweden,82,83,Emil,Forsberg
Gabriel Paulista,Gabriel Paulista,27,188.0,Brazil,82,83,Gabriel,Paulista
J. Lingard,Jesse Lingard,25,175.0,England,82,83,Jesse,Lingard
Pablo Sarabia,Pablo Sarabia,26,175.0,Spain,82,83,Pablo,Sarabia
S. Coates,Sebastián Coates,27,196.0,Uruguay,82,83,Sebastián,Coates
T. Delaney,Thomas Delaney,26,183.0,Denmark,82,83,Thomas,Delaney
T. Meunier,Thomas Meunier,26,190.0,Belgium,82,83,Thomas,Meunier
Víctor Ruiz,Víctor Ruiz,29,185.0,Spain,82,83,Víctor,Ruiz
Willian José,Willian José,26,188.0,Brazil,82,83,Willian,José
A. Rami,Adil Rami,32,190.0,France,82,82,Adil,Rami
Aduriz,Aduriz,37,183.0,Spain,82,82,Aduriz,-
A. Kolarov,Aleksandar Kolarov,32,188.0,Serbia,82,82,Aleksandar,Kolarov
A. Consigli,Andrea Consigli,31,188.0,Italy,82,82,Andrea,Consigli
A. Guardado,Andrés Guardado,31,170.0,Mexico,82,82,Andrés,Guardado
Casillas,Casillas,37,185.0,Spain,82,82,Casillas,-
Dani Alves,Dani Alves,35,173.0,Brazil,82,82,Dani,Alves
David Villa,David Villa,36,175.0,Spain,82,82,David,Villa
E. Višća,Edin Višća,28,173.0,Bosnia Herzegovina,82,82,Edin,Višća
E. Viviano,Emiliano Viviano,32,196.0,Italy,82,82,Emiliano,Viviano
E. Garay,Ezequiel Garay,31,188.0,Argentina,82,82,Ezequiel,Garay
F. Fazio,Federico Fazio,31,196.0,Argentina,82,82,Federico,Fazio
F. Vázquez,Franco Vázquez,29,185.0,Argentina,82,82,Franco,Vázquez
G. Wijnaldum,Georginio Wijnaldum,27,175.0,Netherlands,82,82,Georginio,Wijnaldum
G. Bonaventura,Giacomo Bonaventura,28,180.0,Italy,82,82,Giacomo,Bonaventura
G. Sigurðsson,Gylfi Sigurðsson,28,185.0,Iceland,82,82,Gylfi,Sigurðsson
J. Vardy,Jamie Vardy,31,178.0,England,82,82,Jamie,Vardy
Jardel,Jardel,32,193.0,Brazil,82,82,Jardel,-
J. Pastore,Javier Pastore,29,188.0,Argentina,82,82,Javier,Pastore
Jonathan Viera,Jonathan Viera,28,170.0,Spain,82,82,Jonathan,Viera
J. Henderson,Jordan Henderson,28,183.0,England,82,82,Jordan,Henderson
Juiano Mestres,Juiano Mestres,34,180.0,Brazil,82,82,Juiano,Mestres
K. Trippier,Kieran Trippier,27,178.0,England,82,82,Kieran,Trippier
L. Koscielny,Laurent Koscielny,32,185.0,France,82,82,Laurent,Koscielny
L. Fejsa,Ljubomir Fejsa,29,183.0,Serbia,82,82,Ljubomir,Fejsa
L. Biglia,Lucas Biglia,32,178.0,Argentina,82,82,Lucas,Biglia
Marcano,Marcano,31,188.0,Spain,82,82,Marcano,-
M. Parolo,Marco Parolo,33,183.0,Italy,82,82,Marco,Parolo
M. Arnautović,Marko Arnautović,29,193.0,Austria,82,82,Marko,Arnautović
Marlos,Marlos,30,175.0,Ukraine,82,82,Marlos,-
M. Kruse,Max Kruse,30,180.0,Germany,82,82,Max,Kruse
Mário Fernandes,Mário Fernandes,27,188.0,Russia,82,82,Mário,Fernandes
N. Gaitán,Nicolás Gaitán,30,173.0,Argentina,82,82,Nicolás,Gaitán
O. Giroud,Olivier Giroud,31,193.0,France,82,82,Olivier,Giroud
Pedro,Pedro,30,170.0,Spain,82,82,Pedro,-
P. Čech,Petr Čech,36,196.0,Czech Republic,82,82,Petr,Čech
Raphaelito Anjos,Raphaelito Anjos,30,190.0,Brazil,82,82,Raphaelito,Anjos
Rosberto Dourado,Rosberto Dourado,30,175.0,Brazil,82,82,Rosberto,Dourado
S. Sané,Salif Sané,27,196.0,Senegal,82,82,Salif,Sané
S. Sirigu,Salvatore Sirigu,31,193.0,Italy,82,82,Salvatore,Sirigu
S. Giovinco,Sebastian Giovinco,31,163.0,Italy,82,82,Sebastian,Giovinco
S. Nzonzi,Steven Nzonzi,29,196.0,France,82,82,Steven,Nzonzi
Taison,Taison,30,173.0,Brazil,82,82,Taison,-
V. Ćorluka,Vedran Ćorluka,32,193.0,Croatia,82,82,Vedran,Ćorluka
W. Ben Yedder,Wissam Ben Yedder,27,170.0,France,82,82,Wissam,Ben Yedder
Fabián,Fabián,22,188.0,Spain,81,89,Fabián,-
F. de Jong,Frenkie de Jong,21,180.0,Netherlands,81,89,Frenkie,de Jong
L. Bailey,Leon Bailey,20,178.0,Jamaica,81,89,Leon,Bailey
M. Rashford,Marcus Rashford,20,185.0,England,81,89,Marcus,Rashford
A. Christensen,Andreas Christensen,22,188.0,Denmark,81,88,Andreas,Christensen
A. Milik,Arkadiusz Milik,24,185.0,Poland,81,88,Arkadiusz,Milik
Dani Ceballos,Dani Ceballos,21,178.0,Spain,81,88,Dani,Ceballos
P. Zieliński,Piotr Zieliński,24,180.0,Poland,81,88,Piotr,Zieliński
E. Bailly,Eric Bailly,24,185.0,Ivory Coast,81,87,Eric,Bailly
Grimaldo,Grimaldo,22,170.0,Spain,81,87,Grimaldo,-
M. Akanji,Manuel Akanji,22,188.0,Switzerland,81,87,Manuel,Akanji
Williams,Williams,24,185.0,Spain,81,87,Williams,-
A. Correa,Ángel Correa,23,170.0,Argentina,81,87,Ángel,Correa
B. Mendy,Benjamin Mendy,23,185.0,France,81,86,Benjamin,Mendy
E. Hysaj,Elseid Hysaj,24,183.0,Albania,81,86,Elseid,Hysaj
H. Lozano,Hirving Lozano,22,175.0,Mexico,81,86,Hirving,Lozano
Nélson Semedo,Nélson Semedo,24,178.0,Portugal,81,86,Nélson,Semedo
Pablo Fornals,Pablo Fornals,22,178.0,Spain,81,86,Pablo,Fornals
R. Guerreiro,Raphaël Guerreiro,24,170.0,Portugal,81,86,Raphaël,Guerreiro
T. Strakosha,Thomas Strakosha,23,193.0,Albania,81,86,Thomas,Strakosha
A. Doucouré,Abdoulaye Doucouré,25,183.0,France,81,85,Abdoulaye,Doucouré
A. Areola,Alphonse Areola,25,196.0,France,81,85,Alphonse,Areola
M. Lanzini,Manuel Lanzini,25,168.0,Argentina,81,85,Manuel,Lanzini
Paco Alcácer,Paco Alcácer,24,175.0,Spain,81,85,Paco,Alcácer
Ricardo Pereira,Ricardo Pereira,24,175.0,Portugal,81,85,Ricardo,Pereira
B. Davies,Ben Davies,25,183.0,Wales,81,84,Ben,Davies
B. Lecomte,Benjamin Lecomte,27,185.0,France,81,84,Benjamin,Lecomte
G. Xhaka,Granit Xhaka,25,185.0,Switzerland,81,84,Granit,Xhaka
J. Martínez,Josef Martínez,25,170.0,Venezuela,81,84,Josef,Martínez
